feature,class
"[-3.0566437e+02  1.1307102e+02  1.2107334e+01  4.5052197e+01
  1.7734385e+01  1.4590071e+01  4.1479959e+00  2.2631137e-01
 -7.0215869e+00  1.3646477e+01  8.9142103e+00  1.3037986e+00
  5.9549785e+00  8.5474730e+00  1.1196221e+00  5.9824109e-01
  6.0842704e-02 -3.7137508e+00 -9.9353415e-01 -1.8043829e+00
  4.9606986e+00  4.3350310e+00  3.4170096e+00  1.2741938e+00
  2.8754208e+00  2.2284570e+00  3.4693353e+00  6.0261836e+00
  7.7702293e+00  9.8028717e+00  8.9533901e+00  3.7933440e+00
 -1.9360090e+00 -6.8857175e-01  1.9562247e+00  2.8515961e+00
 -5.2378643e-02 -7.9402393e-01 -2.3322639e+00  1.6225644e+00]",blues
"[-2.3851962e+02  1.2010219e+02 -4.2219481e+00  4.2294594e+01
  5.9238219e+00  1.3911398e+01  5.3505239e+00  1.8952672e+00
 -1.6928087e+01  1.2343145e+01  3.9388995e+00 -1.3966829e+00
  1.3027714e-02  3.5852571e+00 -4.5006390e+00 -5.5398450e+00
 -6.8845096e+00 -4.8245540e+00  1.7439977e+00 -1.8783106e+00
  6.8886385e+00  5.3057194e+00  5.5379062e+00  5.4402763e-01
  1.8469824e+00 -8.2140826e-02  4.2355161e+00  4.3461461e+00
  5.9726267e+00  6.7789073e+00  4.5179482e+00  1.3841990e+00
 -5.2774828e-02 -6.1485690e-01 -2.3416564e+00  1.8995880e+00
 -5.7299501e-01 -1.7211280e+00 -1.4194747e+00  2.1596076e+00]",blues
"[-2.33772812e+02  1.20664337e+02 -3.16409230e+00  3.95148277e+01
  3.83152413e+00  1.88281555e+01 -3.67873859e+00  4.42546844e+00
 -1.49649286e+01  1.75714779e+01  1.84612489e+00  2.55008841e+00
 -1.23023915e+00  8.43705559e+00 -2.00247705e-01 -3.89082932e+00
 -4.45613527e+00  1.10005485e-02  1.29480386e+00 -2.09846187e+00
  6.78926325e+00  5.85305274e-01  1.63814771e+00 -7.31488883e-01
  3.07260466e+00 -1.99393630e+00  3.63897443e+00  3.61333704e+00
  3.62530065e+00  6.71038091e-01  5.38671637e+00  8.28311539e+00
  8.56606770e+00  5.54895163e+00  6.47008538e-01 -2.01249290e+00
 -7.88442671e-01  3.99960279e+00  4.99694824e-01 -8.92945826e-01]",blues
"[-2.4568724e+02  1.4048125e+02 -2.7912185e+00  6.0404514e+01
  1.8903513e+01  9.8283939e+00  3.5638239e+00  5.2286237e-01
 -1.6378489e+01  6.6293526e+00  7.2584243e+00 -4.0212350e+00
  1.6011248e+00  5.8965745e+00 -3.0172145e+00 -4.7756929e+00
 -3.0362885e+00 -1.9979147e+00 -4.9571805e-02 -3.9618294e+00
 -3.9036053e-01  1.9787875e+00  4.6754536e-01 -1.8194242e+00
  2.7958221e+00  6.3500851e-01  1.4149066e+00  4.8250365e+00
  3.6250069e+00  2.6749988e+00  4.7974286e+00  6.6525221e+00
  7.7428875e+00  6.7837849e+00  3.3915854e-01 -1.7995279e+00
  1.3129233e-01  2.4119120e+00  2.5563343e+00  1.0668197e-01]",blues
"[-2.5248178e+02  1.0494516e+02  1.5296445e+01  4.2687840e+01
  6.7704520e+00  2.1611765e+01 -1.3111783e+00  5.6817451e+00
 -1.6636873e+01  1.2169350e+01 -1.9619533e+00  1.9602653e+00
 -8.9822781e-01  7.7623606e+00  2.3758616e+00  1.7791142e+00
  1.3305405e+00  3.6150508e+00  4.9065995e+00 -2.6610510e+00
  4.1080480e+00  2.2107763e+00  2.5487442e+00 -1.6179949e+00
  2.8880687e+00 -3.0624764e+00  2.4144314e-01  5.5991971e-01
  4.8141723e+00  3.6628959e+00  3.5393851e+00  7.3919940e-01
  1.6082972e+00  3.3467624e+00  2.3809478e+00  3.2134371e+00
  5.8956962e-02 -1.4272225e+00 -5.6407714e-01  2.4639740e+00]",blues
"[-2.3667947e+02  1.3840559e+02 -4.9304790e+00  4.7654499e+01
  5.1578503e+00  8.8878059e+00  4.8740575e-01 -3.7883420e+00
 -1.4984866e+01  1.0428946e+01 -3.4138411e-01  7.8335887e-01
  1.7809838e+00  4.2295599e+00 -4.7476929e-01 -6.1045432e+00
 -5.3946428e+00 -1.3449991e+00 -3.7254629e+00 -4.3737102e+00
  4.5424595e+00  7.4319839e-02  5.4422932e+00  3.7088485e+00
  1.9625505e+00  3.3865112e-01  4.9636898e+00  2.3795106e+00
  4.3545878e-01  1.8166517e+00  5.9143071e+00  1.0841658e+01
  8.7016439e+00  5.5548515e+00  2.3681440e+00 -4.2195618e-01
 -2.1511405e+00  1.4968753e+00 -9.5672679e-01 -1.8855915e+00]",blues
"[-2.3036378e+02  1.2707773e+02  7.1146960e+00  3.9767056e+01
  1.9217218e+00  1.7410606e+01 -5.6269178e+00  8.2406645e+00
 -1.8116041e+01  1.3844725e+01 -3.7571108e+00  2.5798490e+00
 -4.3167143e+00  6.7979951e+00 -6.1670141e+00 -6.2006335e+00
 -4.5018964e+00 -1.8255954e+00 -5.1590997e-01  1.5071843e+00
  8.9944696e+00  4.4141469e+00  6.2053766e+00 -1.6326698e+00
 -3.9314440e-01 -3.0037673e+00  1.5876290e+00  1.6816209e-01
  4.9929700e+00  5.6348008e-01  1.4701095e+00  3.0915086e+00
  6.6852374e+00  6.4862194e+00  4.5193596e+00 -7.8402930e-01
 -2.2652733e+00 -4.1921127e-01 -2.6120565e+00 -8.5024321e-01]",blues
"[-2.6467126e+02  1.3885434e+02  1.1167329e+01  4.8523926e+01
  1.4904312e+01  2.0586437e+01  3.2061763e+00  1.2635795e+00
 -1.5839373e+01  1.5975112e+01  3.3582180e+00 -1.5066409e+00
  1.8969209e+00  6.3134995e+00 -9.9598384e-01 -2.4147837e+00
 -3.6791573e+00  4.9927184e-01  5.0440598e+00 -7.8631693e-01
  5.0121827e+00 -1.4406960e-01 -1.5629917e+00 -1.0378023e+00
  3.0504642e+00 -1.9822402e+00  2.4294600e+00  2.3189197e+00
  9.8457895e-02  2.0578283e-01  1.6858253e+00  1.7363487e+00
  1.0081260e+00  6.2305063e-01  1.9171833e+00  2.6859031e+00
 -4.6082959e-01  3.3247647e+00  3.3931749e+00  1.1272767e+00]",blues
"[-2.3396312e+02  1.3614453e+02  3.3066361e+00  4.8930626e+01
  8.7051840e+00  1.3989511e+01  5.3627157e+00  4.1018921e-01
 -1.3483557e+01  1.6860369e+01  5.1347518e+00 -2.2307274e+00
  3.9538214e+00  5.3132124e+00  8.0794299e-01 -1.1003901e+00
 -4.5396309e+00 -2.4259493e+00  3.3244359e+00 -6.0584551e-01
  7.0706549e+00  3.0539250e+00  5.7666630e-01  6.0067910e-01
  2.7848127e+00 -1.4426730e+00  2.0486641e+00  5.6069622e+00
  2.9332485e+00  2.1039968e+00  2.5272934e+00 -4.5601031e-01
 -2.2324367e+00  1.1536400e-01 -4.6478391e-01 -1.5148914e-01
 -3.0590236e-01  5.0410714e+00  5.3123503e+00  1.6475725e+00]",blues
"[-2.2725580e+02  1.3776518e+02 -1.4502317e+01  6.3575359e+01
  5.6017485e+00  1.1988769e+01  1.8891491e+00 -1.8709356e+00
 -7.6180358e+00 -2.4516423e+00 -2.8980217e+00 -9.4338245e+00
 -1.0939208e+01  3.5636466e+00  4.1527381e+00  9.4712168e-02
 -2.9802275e+00 -1.3866447e+00  7.5348935e+00 -3.0437849e+00
 -5.8704119e+00 -3.2586577e+00  8.3579266e-01  3.7291644e+00
  3.7117362e+00  1.7648318e+00 -1.9198146e-01 -4.3020110e+00
  2.8750777e-01  1.4620000e+00  3.9184887e+00  7.1970744e+00
  4.6453433e+00 -2.1001522e-01 -7.1977782e+00 -7.1101923e+00
 -2.1515152e+00  7.2924656e-01 -2.2975581e+00 -3.8659828e+00]",blues
"[-2.7437683e+02  1.3040738e+02 -6.3574672e+00  7.0388222e+01
  1.3269664e+01  9.4721813e+00  7.7330894e+00 -1.2365493e+00
 -5.7098782e-01 -2.2971628e+00  3.7794154e+00  8.5482076e-02
 -9.3685710e-01  2.2968419e+00  4.2896338e+00 -1.6617897e+00
 -1.0439051e+01 -6.7934256e+00 -1.0635625e+00 -1.5890816e+00
 -1.1818292e+00 -1.2738190e+00  2.4839592e+00  3.0541930e+00
  1.3547114e+00  1.8956174e+00 -6.0382885e-01 -1.5892920e+00
  5.5002999e+00  8.9374075e+00  7.5262880e+00  5.8485994e+00
  2.1606169e+00 -3.3528409e+00 -7.3253427e+00 -4.6332235e+00
 -1.1211294e+00 -9.4526190e-01 -4.8595915e+00 -5.7443247e+00]",blues
"[-2.4931532e+02  1.3100032e+02  6.7786974e-01  6.6704155e+01
  1.7911272e+01  4.6232772e+00  6.6038089e+00  1.2421156e+00
  1.4099408e+00 -1.5849273e+00 -9.7253853e-01 -3.5726154e+00
 -2.9297993e+00  4.5961614e+00  7.4807310e+00 -1.9306450e-01
 -2.8259156e+00 -2.6829553e+00  7.4113864e-01 -5.2923673e-01
 -3.0146253e+00  9.6867728e-01  1.4384369e+00  1.6078527e+00
  2.9502316e+00  1.3439860e+00 -2.5526965e-01  1.2503998e-01
  4.1796665e+00  6.5274825e+00  2.5550411e+00 -1.4900767e+00
 -1.5836751e+00 -4.0808659e+00 -5.6692004e+00 -2.2922876e+00
 -6.8794823e-01 -1.5162854e+00 -4.7850847e+00 -1.8166950e+00]",blues
"[-2.8464056e+02  1.0880131e+02  9.0853186e+00  5.1198063e+01
  1.8071890e+01  7.6021547e+00  8.7557163e+00  2.3540909e+00
  3.3673658e-03  2.2484956e+00  4.1991253e+00 -3.2830639e+00
  1.6176826e+00  2.6794720e+00  3.3437948e+00  3.2793782e+00
 -4.5331836e+00  4.8806825e-01  5.9214969e+00  3.2215705e+00
  1.8752784e+00  1.3635286e+00  2.4384894e+00  6.6702437e-01
 -1.7899382e+00 -1.4184330e+00 -1.3413030e+00 -1.8754863e+00
 -2.5204394e+00 -2.2657835e+00 -1.2103512e+00  4.6558449e-01
  1.6849938e-01 -3.2945669e+00 -4.2297511e+00 -2.2400405e+00
  1.0810903e+00  1.7249900e-01 -4.9059396e+00 -2.5026369e+00]",blues
"[-2.2820984e+02  1.3032317e+02 -2.3311424e+01  7.0200951e+01
  1.1310546e+00  7.5844269e+00  9.0051079e-01  1.9828154e+00
 -6.1644154e+00 -9.3827477e+00 -2.5637801e+00 -4.5257525e+00
 -2.6046440e-01  1.7552172e-01 -1.5229120e+00  1.4664072e+00
 -6.9791350e+00 -8.3283939e+00  4.2368064e+00  9.8863924e-01
  2.6297538e+00  1.5644878e+00  1.1981881e-01 -2.6892385e+00
 -2.3507226e+00 -3.0127725e-01 -1.4663258e+00 -2.5843757e-01
 -1.4734538e-01 -3.9402440e+00 -3.1054404e+00 -4.2642937e+00
 -6.7208309e+00 -5.1720533e+00 -7.4894223e+00 -6.5608854e+00
 -5.5054183e+00 -4.5530868e+00 -3.5563025e+00  2.6742880e+00]",blues
"[-2.4898882e+02  1.3905774e+02 -1.6270870e+01  5.7137150e+01
  2.0188509e+01  1.0186956e+01  4.5429106e+00  3.3107200e-01
 -7.8745794e+00 -3.4545712e+00 -2.6574361e+00 -2.8329575e+00
 -9.0465844e-01 -2.4093251e+00  2.5699363e+00 -5.8520570e+00
 -1.2404833e+01 -7.3133807e+00 -9.3787175e-01 -2.6867251e+00
 -3.0036664e+00 -2.4216294e+00 -8.2220483e-01  1.1910578e+00
  7.3448414e-01 -5.7535177e-01 -3.1793349e+00 -2.4051156e+00
  2.0995448e+00  4.7656183e+00  7.2303782e+00  5.9440598e+00
  5.4377049e-01 -4.5021176e+00 -6.7320671e+00 -3.2993591e+00
 -2.1187913e-01 -7.8192663e-01 -4.7435570e+00 -4.4192820e+00]",blues
"[-233.72897     101.19028      17.647955     23.734173      2.0825467
   25.936394    -16.956385     15.084952    -22.273954      4.38161
  -23.201656     -6.050581     -5.067927      1.0592695    -5.7868643
   -8.313065    -11.38215      -6.724383    -10.016952    -14.028803
  -13.949058    -12.28715     -15.633726    -17.245676     -7.6343775
  -11.212246     -7.3376966   -12.7098255    -6.6017103    -7.423319
   -6.497982     -3.388291     -1.7051293    -6.9412313    -3.5822368
   -3.7442656    -6.607316     -0.35946736   -1.0142548    -4.3448577 ]",blues
"[-206.93233     117.80414      23.241365     28.308992     -1.126013
   18.867395    -21.973022     17.844067    -25.595348      2.139523
  -17.782476     -8.011028    -17.610441     -8.119411     -8.629656
  -15.530965    -15.322778     -9.662423    -10.0919695   -17.832165
   -6.5322485    -6.57585     -12.746852    -12.201312     -8.9896965
  -12.402233     -5.775627    -11.5358515    -6.611138     -7.0919957
  -11.969863    -12.416804    -10.964233    -10.986853     -8.702703
   -3.1680043    -3.4803743    -4.7286434    -0.54134554    1.4676635 ]",blues
"[-221.87302     110.8554       18.636082     30.92296       3.2964358
   22.585636    -20.40369      12.121834    -26.332514     -4.367301
  -26.395552    -13.047178    -12.667627     -1.8228295    -7.255052
   -6.657476    -14.686026    -11.712328    -11.020866    -13.38948
  -15.688604    -15.295576    -13.746363    -16.167        -5.245365
  -11.316533     -9.463653    -14.043401     -6.3267856    -2.2048538
    1.1523641     0.34069172   -4.7450657    -4.6580153    -2.2135575
   -5.0302696    -7.110278     -2.420319     -5.5893993    -9.189037  ]",blues
"[-288.7327      105.90115      18.776207     23.682646      5.6820407
   25.54894     -13.463248     12.437668    -11.963671      1.5746145
  -15.640524     -6.632071    -11.693039     -2.926763     -7.375716
  -15.693879    -10.976883    -10.892729    -18.505384    -19.104548
   -8.738504    -10.333421    -14.998673    -17.337934    -11.286087
   -6.723762     -3.687154     -5.666548     -4.6029224    -8.290404
   -6.592128     -9.4573345    -9.7368145   -10.604955     -8.316306
   -3.0675883     0.79840213   -1.6843294    -3.3653228    -3.9760308 ]",blues
"[-238.96988     108.68233      34.158817     30.20716      -0.49822125
   27.279755    -21.377928     14.166391    -24.509224     -1.8904003
  -28.051817    -11.25711     -16.457558     -7.6354303   -12.788069
  -15.356443    -13.739163     -7.4004874   -10.083455    -13.290667
   -8.915051    -11.1632185   -14.159268    -15.470993     -8.656145
   -8.817092     -1.4028388    -9.850776     -6.2584867    -8.975223
   -8.7732       -8.086417     -6.114739     -7.8170443    -7.5446596
   -8.01763      -5.897451     -1.0585685     2.224824      3.7218995 ]",blues
"[-217.18364    105.78522     15.602848    25.24884     -1.4500507
   30.19327    -17.716621    17.319042   -27.213608     4.338282
  -20.0573     -10.700285   -14.228785    -5.1557755   -3.4822617
   -6.1949677  -15.323166    -6.8316145   -9.825101   -13.942625
  -13.694591   -15.135343   -11.592969   -13.282487    -4.788962
   -6.9643188   -5.5628605  -13.958131   -11.704697    -6.4005704
   -6.0006156   -5.2064133   -3.7519557   -6.6200914   -2.2940338
   -3.0249197   -6.7121067   -3.8012352   -0.4934349   -4.5835834]",blues
"[-1.71794785e+02  1.20281731e+02  1.53317547e+01  2.10943146e+01
 -5.39544344e+00  2.41855431e+01 -2.41308460e+01  1.85451355e+01
 -2.23429241e+01  1.31073856e+00 -2.07652683e+01 -4.99169207e+00
 -1.71081257e+01 -7.87407684e+00 -1.52936754e+01 -9.34958839e+00
 -8.91714764e+00 -8.52150536e+00 -1.43326178e+01 -1.99283543e+01
 -1.44892721e+01 -4.43296766e+00 -6.34066391e+00 -1.39745655e+01
 -1.50927715e+01 -1.85109730e+01 -9.76849079e+00 -7.23045158e+00
  2.06630211e-02  4.39134645e+00 -7.29541481e-01 -7.59613657e+00
 -6.39126492e+00 -6.63440847e+00 -7.53995228e+00 -7.34558821e+00
 -5.26014328e+00 -6.48205328e+00 -6.33427000e+00 -8.99585819e+00]",blues
"[-2.00185379e+02  1.16348595e+02  1.79907379e+01  2.52876968e+01
  2.87170827e-01  2.41937733e+01 -2.22539310e+01  1.11829338e+01
 -2.68543186e+01 -7.63725424e+00 -2.48767452e+01 -1.20108290e+01
 -1.70249424e+01 -8.12570286e+00 -1.19566202e+01 -1.26144743e+01
 -1.41872616e+01 -8.20807648e+00 -1.50152168e+01 -1.03101978e+01
 -1.04169254e+01 -1.28562498e+01 -1.18270597e+01 -1.75932560e+01
 -9.03373051e+00 -8.07290936e+00 -2.98752218e-01 -6.73452234e+00
 -3.24744558e+00 -4.51773357e+00 -3.51319981e+00 -7.07422352e+00
 -2.25561881e+00 -8.15127277e+00 -1.13308878e+01 -6.85859489e+00
 -6.48219204e+00 -1.54283568e-01  6.32856989e+00  2.99071813e+00]",blues
"[-3.2856018e+02  1.0270981e+02  1.9872597e+01  2.6714405e+01
  7.1520658e+00  2.2708387e+01 -6.9570885e+00  1.2789707e+01
 -1.0729283e+01 -4.4259900e-01 -1.2386709e+01 -8.9091311e+00
 -9.2150087e+00 -9.0876837e+00 -8.9959183e+00 -7.6505113e+00
 -7.2106428e+00 -9.3893738e+00 -4.4802656e+00 -3.6713591e+00
 -1.0500294e+00 -2.5922723e+00 -1.1533640e+01 -1.9036211e+01
 -1.3710567e+01 -4.6349545e+00 -2.0687415e-01 -7.1974258e+00
 -8.9044809e+00 -1.1242850e+01 -7.8009944e+00 -2.9663439e+00
 -6.1418600e+00 -1.1273276e+01 -1.1240984e+01 -8.9610310e+00
 -8.0926170e+00 -3.8286858e+00  7.5297985e+00  1.0963680e+01]",blues
"[-192.69032     111.157486     21.351843     26.396648     -0.64950144
   23.48705     -25.476696     16.92198     -16.971931      5.785404
  -25.736197     -5.0530734   -17.632252     -7.9180593   -15.15891
  -12.352484    -17.237364     -7.785286    -13.0390215   -17.93637
   -8.50349      -4.932542    -11.499352    -10.165698     -8.138458
  -17.354864     -5.1305103    -9.575147      1.0095494     5.3740354
    3.4093542    -2.8604193    -3.4028218    -6.1944675    -3.807877
   -4.6147337    -5.036284     -6.767557     -6.642986    -10.254915  ]",blues
